Label,Function,SourceFile,ARM_PcodeLines,MIPS_PcodeLines,Match_Ratio,Notes
1,_init,Unknown,2,12,15.77,P-code行數差異顯著; 低相似度
557,_dl_debug_printf_c,Unknown,15,36,18.39,P-code行數差異顯著; 低相似度
825,__mpn_cmp,Unknown,26,31,44.32,低相似度
822,_nl_load_locale,Unknown,529,104,3.75,P-code行數差異顯著; 低相似度
164,_int_realloc,Unknown,538,129,10.57,P-code行數差異顯著; 低相似度
977,__sync_synchronize,Unknown,4,21,14.65,P-code行數差異顯著; 低相似度
1008,__aeabi_unwind_cpp_pr1,Unknown,2,5,53.12,P-code行數差異顯著
755,__futex_abstimed_wait64,Unknown,61,180,10.48,P-code行數差異顯著; 低相似度
542,_dl_map_object_from_fd,Unknown,1992,54,1.48,P-code行數差異顯著; 低相似度
492,__sched_getparam,Unknown,8,15,33.33,P-code行數差異顯著; 低相似度
820,_nl_archive_subfreeres,Unknown,174,450,12.39,P-code行數差異顯著; 低相似度
184,__malloc_stats,Unknown,546,52,6.79,P-code行數差異顯著; 低相似度
451,_dl_tunable_set_stack_hugetlb,Unknown,13,80,20.95,P-code行數差異顯著; 低相似度
904,___dlsym,Unknown,40,249,10.04,P-code行數差異顯著; 低相似度
347,mmap_remap_check,Unknown,403,612,9.44,P-code行數差異顯著; 低相似度
712,_IO_wdefault_uflow,Unknown,39,9,26.11,P-code行數差異顯著; 低相似度
336,outstring_converted_wide_string,Unknown,183,47,3.97,P-code行數差異顯著; 低相似度
532,open_path,Unknown,1541,23,1.07,P-code行數差異顯著; 低相似度
457,___pthread_mutex_unlock,Unknown,3,52,7.64,P-code行數差異顯著; 低相似度
150,ptmalloc_init,Unknown,713,14,1.86,P-code行數差異顯著; 低相似度
340,__vfprintf_internal,Unknown,430,132,15.61,P-code行數差異顯著; 低相似度
666,__printf_buffer_putc_1,Unknown,54,79,31.49,P-code行數差異顯著; 低相似度
599,__gconv_btwoc_ascii,Unknown,7,2010,0.36,P-code行數差異顯著; 低相似度
931,__aeabi_dcmple,Unknown,2,39,2.08,P-code行數差異顯著; 低相似度
553,_dl_new_object,Unknown,386,14,3.08,P-code行數差異顯著; 低相似度
