file_name,CPU,label,Avg_ARITHMETIC,Avg_BITFIELD,Avg_BOOLEAN,Avg_BRANCHING,Avg_CFG_EDGES,Avg_CFG_EDGE_TO_NODE_RATIO,Avg_CFG_NODES,Avg_DATA_MOVING,Avg_EXTENSION,Avg_FLOATING_POINT,Avg_FLOATING_POINT_COMPARE,Avg_FLOATING_POINT_CONVERSION,Avg_FUNCTION_IN_DEGREE,Avg_FUNCTION_OUT_DEGREE,Avg_INTEGER_COMPARISON,Avg_LOGICAL,Avg_MANAGED,Avg_MISC,Avg_TOTAL_OPS,Avg_UNRECOGNIZED_OPS,Total_ARITHMETIC,Total_BITFIELD,Total_BOOLEAN,Total_BRANCHING,Total_CFG_EDGES,Total_CFG_EDGE_TO_NODE_RATIO,Total_CFG_NODES,Total_DATA_MOVING,Total_EXTENSION,Total_FLOATING_POINT,Total_FLOATING_POINT_COMPARE,Total_FLOATING_POINT_CONVERSION,Total_FUNCTION_IN_DEGREE,Total_FUNCTION_OUT_DEGREE,Total_INTEGER_COMPARISON,Total_LOGICAL,Total_MANAGED,Total_MISC,Total_TOTAL_OPS,Total_UNRECOGNIZED_OPS,Total_functions
e5a974873f18766c5b0878bbdd7e775341029386912568bdf7278d25c6f2e17e,Advanced Micro Devices X86-64,gafgyt,15.448979591836734,0,0.1428571428571428,17.93877551020408,21.53061224489796,1.0471004772890715,15.673469387755102,81.93877551020408,23.285714285714285,0.0,0.0,0.0,1.4489795918367347,1.469387755102041,6.142857142857143,2.0,0,0,146.89795918367346,0,757,0,7,879,1055,51.307923387164514,768,4015,1141,0,0,0,71,72,301,98,0,0,7198,0,49
e57f662b8dbbbb03a7d931048a02aa54dc75a0b4d06678bcee0298e44df1e567,Advanced Micro Devices X86-64,gafgyt,22.596153846153847,0,0.0961538461538461,17.807692307692307,21.53846153846154,1.0082563167540768,16.21153846153846,125.4423076923077,29.71153846153846,0.0,0.0,0.0,1.3846153846153846,1.4038461538461535,6.269230769230769,2.0576923076923075,0,0,203.98076923076923,0,1175,0,5,926,1120,52.429328471212,843,6523,1545,0,0,0,72,73,326,107,0,0,10607,0,52
e54f95c8f4838d2495ad5f7d6c0db8870d3787cee2031f836a1f76dc1d4efe7d,Advanced Micro Devices X86-64,mirai,17.436974789915965,0,0.2857142857142857,13.77310924369748,21.630252100840337,0.7662342061967854,15.084033613445378,192.781512605042,36.42857142857143,0.0,0.0,0.0,2.369747899159664,2.3781512605042017,5.546218487394958,4.0588235294117645,0,0,270.3109243697479,0,2075,0,34,1639,2574,91.18187053741748,1795,22941,4335,0,0,0,282,283,660,483,0,0,32167,0,119
e59ac64ac3c21a56170be17c187662d6925e65d96ca9cfa2b0997363d35896f3,Advanced Micro Devices X86-64,mirai,13.196969696969695,0,0.1893939393939394,12.901515151515152,19.03787878787879,0.978689488740708,13.590909090909092,39.09848484848485,21.87878787878788,0.1136363636363636,0.0681818181818181,0.1212121212121212,2.0303030303030303,2.060606060606061,6.477272727272728,3.159090909090909,0,0,97.20454545454544,0,1742,0,25,1703,2513,129.18701251377345,1794,5161,2888,15,9,16,268,272,855,417,0,0,12831,0,132
e5ab3edc77d2caf48199729a5a9a442ef29d359a3615916fcb19dbc30cf02b83,Advanced Micro Devices X86-64,mirai,12.756410256410255,0,0.2179487179487179,12.455128205128204,18.23076923076923,0.8372827296725924,12.852564102564102,88.01282051282051,30.096153846153847,0.0961538461538461,0.0576923076923076,0.1025641025641025,1.9743589743589745,2.0,5.641025641025641,3.0384615384615383,0,0,152.47435897435898,0,1990,0,34,1943,2844,130.61610582892442,2005,13730,4695,15,9,16,308,312,880,474,0,0,23786,0,156
e5e098094aaade8d9c441650a49c8d7dbcbec24ad632f04df7dc21d081447b44,Advanced Micro Devices X86-64,mirai,14.9873417721519,0,0.2151898734177215,12.727848101265822,18.90506329113924,0.8428785737705474,13.50632911392405,92.9240506329114,31.151898734177216,0.0949367088607595,0.0569620253164556,0.1012658227848101,2.0126582278481013,2.037974683544304,5.689873417721519,3.151898734177215,0,0,161.1012658227848,0,2368,0,34,2011,2987,133.1748146557465,2134,14682,4922,15,9,16,318,322,899,498,0,0,25454,0,158
e5f3a57d07f76364e6dd8d840689bdd5b6bd7da5f8cdf3e04d96776ece4d9b2b,Advanced Micro Devices X86-64,mirai,11.03225806451613,0,0.1677419354838709,11.174193548387096,15.270967741935484,0.9473819365701356,10.903225806451612,33.43225806451613,17.929032258064517,0.0967741935483871,0.0580645161290322,0.1032258064516129,2.3806451612903228,2.4064516129032256,4.870967741935484,2.567741935483871,0,0,81.43225806451613,0,1710,0,26,1732,2367,146.84420016837103,1690,5182,2779,15,9,16,369,373,755,398,0,0,12622,0,155
e5462ca7e4ddcc46f1b0893f68f582e8f72aa6619ffb4a51fc82e357283ff8b6,Advanced Micro Devices X86-64,mirai,15.4765625,0,0.21875,15.21875,20.546875,0.8052944549023662,14.125,239.6015625,39.5078125,0.0,0.0,0.0,2.765625,2.7734375,5.375,4.5078125,0,0,319.90625,0,1981,0,28,1948,2630,103.07769022750288,1808,30669,5057,0,0,0,354,355,688,577,0,0,40948,0,128
e5b7c4e7ecabbf5eddfa41c3a65fe57282c12fbfbc9a0bb7eac1aa1c6f580418,Advanced Micro Devices X86-64,mirai,25.022727272727277,0,0.0681818181818181,15.931818181818182,20.227272727272727,1.033526661268111,14.772727272727272,223.13636363636363,44.75,0.0,0.0,0.0,0.9772727272727272,3.5454545454545454,5.159090909090909,1.181818181818182,0,0,315.25,0,1101,0,3,701,890,45.4751730957969,650,9818,1969,0,0,0,43,156,227,52,0,0,13871,0,44
e5d6fa1abf06e6ec2bebd0d0ba44338d9ace1531b6b0c506bd406c7807afcd00,Advanced Micro Devices X86-64,mirai,13.664473684210526,0,0.3552631578947368,15.717105263157896,22.06578947368421,0.8469498470131758,14.86842105263158,183.85526315789477,36.92763157894737,0.0,0.0,0.0,2.671052631578948,2.6907894736842106,6.4605263157894735,4.434210526315789,0,0,261.4144736842105,0,2077,0,54,2389,3354,128.73637674600272,2260,27946,5613,0,0,0,406,409,982,674,0,0,39735,0,152
