Config,ARM Address,ARM Function Name,ARM Called Count,ARM Calling Count,ARM Param Count,ARM CBranch Count,ARM Set Size,ARM Sequence Length,MIPS Address,MIPS Function Name,MIPS Called Count,MIPS Calling Count,MIPS Param Count,MIPS CBranch Count,MIPS Set Size,MIPS Sequence Length,Similarity Score,Intersection Size,Union Size,CLS Length,CLS Similarity Score,UserDefined
opt_inline,0x00043c20,__gconv_get_builtin_trans,2,3,2,2,13,68,0x00444330,__gconv_get_builtin_trans,1,4,2,2,13,69,1.0,13,13,61,0.8905109489051095,0
opt_inline,0x0004ab4c,__gconv_get_cache,0,0,0,0,2,3,0x0044b72c,__gconv_get_cache,0,0,0,0,2,3,1.0,2,2,3,1.0,0
opt_inline,0x00041cb8,__gconv_get_modules_db,0,0,0,0,2,3,0x00441a00,__gconv_get_modules_db,0,0,0,0,2,3,1.0,2,2,3,1.0,0
opt_inline,0x00042d68,__gconv_get_path,1,9,0,13,21,475,0x00442e80,__gconv_get_path,1,9,0,13,22,558,0.9545454545454546,21,22,434,0.8402710551790901,0
opt_inline,0x0004ab5c,__gconv_load_cache,1,9,0,16,19,188,0x0044b74c,__gconv_load_cache,1,9,0,16,19,178,1.0,19,19,173,0.9453551912568307,0
opt_inline,0x00043bd4,__gconv_load_conf,2,2,0,0,3,4,0x004442b4,__gconv_load_conf,2,2,0,0,3,4,1.0,3,3,4,1.0,0
opt_inline,0x0004adec,__gconv_lookup_cache,1,6,5,28,21,510,0x0044babc,__gconv_lookup_cache,1,6,5,30,23,640,0.9130434782608695,21,23,372,0.6469565217391304,0
opt_inline,0x0005c20c,__gconv_open,1,9,3,16,22,451,0x004626e0,__gconv_open,1,8,3,16,26,381,0.8461538461538461,22,26,303,0.7283653846153846,0
opt_inline,0x000438c8,__gconv_read_conf,1,18,0,20,19,284,0x00443df4,__gconv_read_conf,1,17,0,21,22,726,0.8636363636363636,19,22,232,0.4594059405940594,0
opt_inline,0x0004b20c,__gconv_release_cache,1,1,2,1,6,8,0x0044c028,__gconv_release_cache,1,1,2,1,6,8,0.7142857142857143,5,7,5,0.625,0
opt_inline,0x0004b514,__gconv_release_shlib,2,2,1,0,5,5,0x0044c448,__gconv_release_shlib,2,1,1,0,5,5,1.0,5,5,5,1.0,0
opt_inline,0x00041cdc,__gconv_release_step,3,2,1,4,15,47,0x00441a40,__gconv_release_step,3,2,1,4,12,32,0.8,12,15,29,0.7341772151898734,0
opt_inline,0x00045574,__gconv_transform_ascii_internal,0,2,8,36,26,363,0x00445f4c,__gconv_transform_ascii_internal,1,1,8,34,24,474,0.9230769230769231,24,26,259,0.6188769414575866,0
opt_inline,0x000459dc,__gconv_transform_internal_ascii,0,3,8,87,29,992,0x004463e0,__gconv_transform_internal_ascii,1,3,0,0,0,0,0.0,0,29,0,0.0,0
opt_inline,0x00048618,__gconv_transform_internal_ucs2,0,3,8,95,29,1060,0x00448fd0,__gconv_transform_internal_ucs2,1,2,0,0,0,0,0.0,0,29,0,0.0,0
opt_inline,0x00049974,__gconv_transform_internal_ucs2reverse,0,3,8,95,29,1056,0x0044a3a4,__gconv_transform_internal_ucs2reverse,1,2,0,0,0,0,0.0,0,29,0,0.0,0
opt_inline,0x00043ce4,__gconv_transform_internal_ucs4,1,2,8,45,33,534,0x00444470,__gconv_transform_internal_ucs4,1,2,8,39,25,467,0.7058823529411765,24,34,216,0.43156843156843155,0
opt_inline,0x00044974,__gconv_transform_internal_ucs4le,0,3,8,41,30,410,0x004450b8,__gconv_transform_internal_ucs4le,0,2,8,43,24,621,0.7419354838709677,23,31,240,0.4655674102812803,0
opt_inline,0x00046520,__gconv_transform_internal_utf8,0,3,8,100,29,1079,0x00446ed8,__gconv_transform_internal_utf8,1,2,8,99,26,1502,0.896551724137931,26,29,716,0.5548237117396358,0
opt_inline,0x00047ea0,__gconv_transform_ucs2_internal,0,2,8,56,27,595,0x0044887c,__gconv_transform_ucs2_internal,0,1,8,56,27,740,0.9285714285714286,26,28,393,0.5887640449438202,0
opt_inline,0x000491e0,__gconv_transform_ucs2reverse_internal,0,2,8,56,29,611,0x00449be8,__gconv_transform_ucs2reverse_internal,0,1,8,56,28,737,0.9655172413793104,28,29,404,0.599406528189911,0
opt_inline,0x000442b0,__gconv_transform_ucs4_internal,0,2,8,52,31,580,0x00444a28,__gconv_transform_ucs4_internal,2,2,0,0,0,0,0.0,0,31,0,0.0,0
opt_inline,0x00044e78,__gconv_transform_ucs4le_internal,0,2,8,52,29,563,0x00445750,__gconv_transform_ucs4le_internal,0,2,8,51,27,1006,0.8064516129032258,25,31,338,0.4308476736775016,0
opt_inline,0x00047188,__gconv_transform_utf8_internal,0,2,8,120,30,1059,0x00447b60,__gconv_transform_utf8_internal,0,1,8,115,29,1156,0.9666666666666667,29,30,698,0.6302483069977427,0
