Label,Function,SourceFile,ARM_PcodeLines,MIPS_PcodeLines,Match_Ratio,Notes
387,__overflow,Unknown,1,1,100.00,高相似度;
388,__underflow,Unknown,1,1,100.00,高相似度;
389,__uflow,Unknown,1,1,100.00,高相似度;
390,_IO_setb,Unknown,1,1,100.00,高相似度;
391,_IO_doallocbuf,Unknown,1,1,100.00,高相似度;
392,_IO_default_underflow,Unknown,1,1,100.00,高相似度;
393,_IO_default_uflow,Unknown,1,1,100.00,高相似度;
394,_IO_default_xsputn,Unknown,1,1,100.00,高相似度;
395,_IO_sgetn,Unknown,1,1,100.00,高相似度;
396,_IO_default_xsgetn,Unknown,1,1,100.00,高相似度;
397,_IO_default_setbuf,Unknown,1,1,100.00,高相似度;
398,_IO_default_seekpos,Unknown,1,1,100.00,高相似度;
399,_IO_default_doallocate,Unknown,1,1,100.00,高相似度;
400,_IO_init_internal,Unknown,1,1,100.00,高相似度;
401,_IO_init,Unknown,1,1,100.00,高相似度;
402,_IO_enable_locks,Unknown,1,1,100.00,高相似度;
403,_IO_old_init,Unknown,1,1,100.00,高相似度;
404,_IO_no_init,Unknown,1,1,100.00,高相似度;
405,_IO_default_sync,Unknown,1,1,100.00,高相似度;
406,_IO_default_finish,Unknown,1,1,100.00,高相似度;
407,_IO_default_seekoff,Unknown,1,1,100.00,高相似度;
408,_IO_sputbackc,Unknown,1,1,100.00,高相似度;
409,_IO_sungetc,Unknown,1,1,100.00,高相似度;
410,_IO_adjust_column,Unknown,1,1,100.00,高相似度;
411,_IO_flush_all,Unknown,1,1,100.00,高相似度;
412,_IO_flush_all_linebuffered,Unknown,1,1,100.00,高相似度;
413,__libio_freemem,Unknown,1,1,100.00,高相似度;
414,_IO_cleanup,Unknown,1,1,100.00,高相似度;
415,_IO_init_marker,Unknown,1,1,100.00,高相似度;
416,_IO_remove_marker,Unknown,1,1,100.00,高相似度;
417,_IO_marker_difference,Unknown,1,1,100.00,高相似度;
418,_IO_marker_delta,Unknown,1,1,100.00,高相似度;
419,_IO_seekmark,Unknown,1,1,100.00,高相似度;
420,_IO_unsave_markers,Unknown,1,1,100.00,高相似度;
421,_IO_default_pbackfail,Unknown,1,1,100.00,高相似度;
422,_IO_default_seek,Unknown,1,1,100.00,高相似度;
423,_IO_default_stat,Unknown,1,1,100.00,高相似度;
424,_IO_default_read,Unknown,1,1,100.00,高相似度;
425,_IO_default_write,Unknown,1,1,100.00,高相似度;
426,_IO_default_showmanyc,Unknown,1,1,100.00,高相似度;
427,_IO_default_imbue,Unknown,1,1,100.00,高相似度;
428,_IO_iter_begin,Unknown,1,1,100.00,高相似度;
429,_IO_iter_end,Unknown,1,1,100.00,高相似度;
430,_IO_iter_next,Unknown,1,1,100.00,高相似度;
431,_IO_iter_file,Unknown,1,1,100.00,高相似度;
432,_IO_list_lock,Unknown,1,1,100.00,高相似度;
433,_IO_list_unlock,Unknown,1,1,100.00,高相似度;
434,_IO_list_resetlock,Unknown,1,1,100.00,高相似度;
435,enlarge_userbuf,Unknown,1,1,100.00,高相似度;
436,_IO_str_init_static_internal,Unknown,1,1,100.00,高相似度;
437,_IO_str_init_static,Unknown,1,1,100.00,高相似度;
438,_IO_str_init_readonly,Unknown,1,1,100.00,高相似度;
439,_IO_str_overflow,Unknown,1,1,100.00,高相似度;
440,_IO_str_underflow,Unknown,1,1,100.00,高相似度;
441,_IO_str_count,Unknown,1,1,100.00,高相似度;
442,_IO_str_seekoff,Unknown,1,1,100.00,高相似度;
443,_IO_str_pbackfail,Unknown,1,1,100.00,高相似度;
444,_IO_str_finish,Unknown,1,1,100.00,高相似度;
445,__pthread_enable_asynccancel,Unknown,1,1,100.00,高相似度;
446,__pthread_disable_asynccancel,Unknown,1,1,100.00,高相似度;
447,__libc_cleanup_push_defer,Unknown,1,1,100.00,高相似度;
448,__libc_cleanup_pop_restore,Unknown,1,1,100.00,高相似度;
449,_dl_tunable_set_mutex_spin_count,Unknown,1,1,100.00,高相似度;
450,_dl_tunable_set_stack_cache_size,Unknown,1,1,100.00,高相似度;
451,_dl_tunable_set_stack_hugetlb,Unknown,1,1,100.00,高相似度;
452,__pthread_tunables_init,Unknown,1,1,100.00,高相似度;
453,__pthread_mutex_lock_full,Unknown,1,1,100.00,高相似度;
454,___pthread_mutex_lock,Unknown,1,1,100.00,高相似度;
455,__pthread_mutex_unlock_full,Unknown,1,1,100.00,高相似度;
456,__pthread_mutex_unlock_usercnt,Unknown,1,1,100.00,高相似度;
457,___pthread_mutex_unlock,Unknown,1,1,100.00,高相似度;
